"SKU Code","Stock Level","Sales Status"
"EF-GS921CEEGWW","920","PURCHASABLE"
"EF-GS921CLEGWW","933","PURCHASABLE"
"EF-GS921CUEGWW","925","PURCHASABLE"
"EF-GS926CEEGWW","927","PURCHASABLE"
"EF-GS926CLEGWW","935","PURCHASABLE"
"EF-GS926CUEGWW","932","PURCHASABLE"
"EF-GS928CEEGWW","270","PURCHASABLE"
"EF-GS928CLEGWW","319","PURCHASABLE"
"EF-GS928CUEGWW","0","PURCHASABLE"
"EF-PS921TEEGWW","797","PURCHASABLE"
"EF-PS921TGEGWW","953","PURCHASABLE"
"EF-PS921TVEGWW","926","PURCHASABLE"
"EF-PS921TWEGWW","946","PURCHASABLE"
"EF-PS921TYEGWW","954","PURCHASABLE"
"EF-PS926TEEGWW","883","PURCHASABLE"
"EF-PS926TGEGWW","968","PURCHASABLE"
"EF-PS926TVEGWW","947","PURCHASABLE"
"EF-PS926TWEGWW","956","PURCHASABLE"
"EF-PS926TYEGWW","973","PURCHASABLE"
"EF-PS928TEEGWW","1605","PURCHASABLE"
"EF-PS928TGEGWW","1859","PURCHASABLE"
"EF-PS928TVEGWW","820","PURCHASABLE"
"EF-PS928TWEGWW","1067","PURCHASABLE"
"EF-PS928TYEGWW","1081","PURCHASABLE"
"EF-US921CTEGWW","1233","PURCHASABLE"
"EF-US926CTEGWW","1306","PURCHASABLE"
"EF-US928CTEGWW","7869","PURCHASABLE"
"EF-XS921CTEGWW","872","PURCHASABLE"
"EF-XS926CTEGWW","888","PURCHASABLE"
"EF-XS928CTEGWW","2549","PURCHASABLE"
"EF-ZS921CBEGWW","691","PURCHASABLE"
"EF-ZS921CGEGWW","946","PURCHASABLE"
"EF-ZS921CVEGWW","892","PURCHASABLE"
"EF-ZS921CWEGWW","979","PURCHASABLE"
"EF-ZS926CBEGWW","712","PURCHASABLE"
"EF-ZS926CGEGWW","936","PURCHASABLE"
"EF-ZS926CVEGWW","921","PURCHASABLE"
"EF-ZS926CWEGWW","984","PURCHASABLE"
"EF-ZS928CBEGWW","1723","PURCHASABLE"
"EF-ZS928CGEGWW","1851","PURCHASABLE"
"EF-ZS928CVEGWW","1526","PURCHASABLE"
"EF-ZS928CWEGWW","1039","PURCHASABLE"
"EJ-PS928BBEGEU","964","PURCHASABLE"
"EJ-PS928BJEGEU","76","PURCHASABLE"
"EJ-PS928BYEGEU","41","PURCHASABLE"
"GP-FPS921HCAAW","934","PURCHASABLE"
"GP-FPS921HCABW","789","PURCHASABLE"
"GP-FPS921HCAVW","966","PURCHASABLE"
"GP-FPS921SAATW","759","PURCHASABLE"
"GP-FPS921SACJW","971","PURCHASABLE"
"GP-FPS921SACVW","954","PURCHASABLE"
"GP-FPS921SBKRW","0","PURCHASABLE"
"GP-FPS921SBKSW","0","PURCHASABLE"
"GP-FPS921SBKYW","0","PURCHASABLE"
"GP-FPS926HCAAW","956","PURCHASABLE"
"GP-FPS926HCABW","821","PURCHASABLE"
"GP-FPS926HCAVW","978","PURCHASABLE"
"GP-FPS926SAATW","659","PURCHASABLE"
"GP-FPS926SACJW","971","PURCHASABLE"
"GP-FPS926SACVW","962","PURCHASABLE"
"GP-FPS926SBKRW","9970","PURCHASABLE"
"GP-FPS926SBKSW","0","PURCHASABLE"
"GP-FPS926SBKYW","9923","PURCHASABLE"
"GP-FPS928HCAAW","632","PURCHASABLE"
"GP-FPS928HCABW","1206","PURCHASABLE"
"GP-FPS928HCAVW","1039","PURCHASABLE"
"GP-FPS928SAATW","7822","PURCHASABLE"
"GP-FPS928SACJW","888","PURCHASABLE"
"GP-FPS928SACVW","755","PURCHASABLE"
"GP-FPS928SBKRW","9819","PURCHASABLE"
"GP-FPS928SBKSW","0","PURCHASABLE"
"GP-FPS928SBKYW","9414","PURCHASABLE"
"GP-TOS921SBERW","99","PURCHASABLE"
"GP-TOS921SBESW","94","PURCHASABLE"
"GP-TOS921SBEYW","96","PURCHASABLE"
"GP-TOS926SBERW","99","PURCHASABLE"
"GP-TOS926SBESW","100","PURCHASABLE"
"GP-TOS926SBEYW","9996","PURCHASABLE"
"GP-TOS928SBERW","9997","PURCHASABLE"
"GP-TOS928SBESW","78","PURCHASABLE"
"GP-TOS928SBEYW","86","PURCHASABLE"
"SMC-DE-AD-12-S24","null","ARCHIVED"
"SMC-DE-AD-12-S24-FOC","null","ARCHIVED"
"SMC-DE-AD-12-S24-PROMO","null","ARCHIVED"
"SMC-DE-AD-24-S24","null","ARCHIVED"
"SMC-DE-AD-24-S24-PROMO","null","ARCHIVED"
"SMC-DE-ADT-12-S24","null","ARCHIVED"
"SMC-DE-ADT-12-S24-PROMO","null","ARCHIVED"
"SMC-DE-ADT-24-S24","null","ARCHIVED"
"SMC-DE-ADT-24-S24-PROMO","null","ARCHIVED"
"SM-S921BLBDEUB","null","null"
"SM-S921BLBGEUB","6050","PURCHASABLE"
"SM-S921BLGDEUB","null","null"
"SM-S921BLGGEUB","8356","PURCHASABLE"
"SM-S921BZADEUB","null","null"
"SM-S921BZAGEUB","8022","PURCHASABLE"
"SM-S921BZKDEUB","null","null"
"SM-S921BZKGEUB","5626","PURCHASABLE"
"SM-S921BZODEUB","null","null"
"SM-S921BZOGEUB","9222","PURCHASABLE"
"SM-S921BZVDEUB","null","null"
"SM-S921BZVGEUB","8817","PURCHASABLE"
"SM-S921BZYDEUB","null","null"
"SM-S921BZYGEUB","9519","PURCHASABLE"
"SM-S926BLBDEUB","null","null"
"SM-S926BLBGEUB","8133","PURCHASABLE"
"SM-S926BLGDEUB","null","null"
"SM-S926BLGGEUB","9200","PURCHASABLE"
"SM-S926BZADEUB","null","null"
"SM-S926BZAGEUB","8553","PURCHASABLE"
"SM-S926BZKDEUB","null","null"
"SM-S926BZKGEUB","7153","PURCHASABLE"
"SM-S926BZODEUB","null","null"
"SM-S926BZOGEUB","9561","PURCHASABLE"
"SM-S926BZVDEUB","null","null"
"SM-S926BZVGEUB","9008","PURCHASABLE"
"SM-S926BZYDEUB","null","null"
"SM-S926BZYGEUB","9658","PURCHASABLE"
"SM-S928BLBGEUB","null","null"
"SM-S928BLBHEUB","3273","PURCHASABLE"
"SM-S928BLBPEUB","5813","PURCHASABLE"
"SM-S928BLGGEUB","null","null"
"SM-S928BLGHEUB","7853","PURCHASABLE"
"SM-S928BLGPEUB","8678","PURCHASABLE"
"SM-S928BZKGEUB","null","null"
"SM-S928BZKHEUB","7061","PURCHASABLE"
"SM-S928BZKPEUB","5368","PURCHASABLE"
"SM-S928BZOGEUB","null","null"
"SM-S928BZOHEUB","8257","PURCHASABLE"
"SM-S928BZOPEUB","8864","PURCHASABLE"
"SM-S928BZTGEUB","null","null"
"SM-S928BZTHEUB","3762","PURCHASABLE"
"SM-S928BZTPEUB","6867","PURCHASABLE"
"SM-S928BZVGEUB","null","null"
"SM-S928BZVHEUB","7889","PURCHASABLE"
"SM-S928BZVPEUB","8856","PURCHASABLE"
"SM-S928BZYGEUB","null","null"
"SM-S928BZYHEUB","9233","PURCHASABLE"
"SM-S928BZYPEUB","9503","PURCHASABLE"
"SM-R510NZAADBT","3912","PURCHASABLE"
"SM-R930NZEADBT","3448","PURCHASABLE"
"SM-R930NZKADBT","921","PURCHASABLE"
"SM-R940NZKADBT","564","PURCHASABLE"
"SM-R940NZSADBT","-8","PURCHASABLE"
